k,exp_factor,latent_dim,l2_lambda,mean_mse,comp_ratio
16,16,12288,0.0,20108.976467532466,16.0
16,16,12288,0.0001,20064.879751457232,16.0
16,16,12288,0.001,20037.525333806818,16.0
16,32,24576,0.0,20042.205038961038,32.0
16,32,24576,0.0001,20122.347070728487,32.0
16,32,24576,0.001,20068.138368709413,32.0
16,64,49152,0.0,20060.14233766234,64.0
16,64,49152,0.0001,20099.49947805398,64.0
16,64,49152,0.001,20078.908199928977,64.0
32,16,12288,0.0,20061.04,16.0
32,16,12288,0.0001,20087.674241144985,16.0
32,16,12288,0.001,20037.519155406608,16.0
32,32,24576,0.0,20120.347064935064,32.0
32,32,24576,0.0001,20102.23433219993,32.0
32,32,24576,0.001,20104.95088565341,32.0
32,64,49152,0.0,20122.200883116882,64.0
32,64,49152,0.0001,20119.570666365664,64.0
32,64,49152,0.001,20102.55094204038,64.0
64,16,12288,0.0,20039.066441558443,16.0
64,16,12288,0.0001,20074.345984577605,16.0
64,16,12288,0.001,20278.009009870257,16.0
64,32,24576,0.0,20168.073194805194,32.0
64,32,24576,0.0001,20097.48068187906,32.0
64,32,24576,0.001,20214.448752428725,32.0
64,64,49152,0.0,20095.442285714285,64.0
64,64,49152,0.0001,20119.52896284243,64.0
64,64,49152,0.001,20124.85901831372,64.0
